"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"AKR1B10",13551.7739130435,4026.97113402062,5.07796664395412,5.45535201065331e-07,0.00848187963701797,-3.80444432611284,"AKR1B10"
"HOXB6",1107.2547826087,507.340206185567,4.98473806574428,8.65983933535961e-07,0.00848187963701797,-3.8330546326717,"HOXB6"
"CCDC77",563.532173913043,489.39587628866,4.82793701973412,1.85364891618754e-06,0.0121037095397326,-3.88020060898023,"CCDC77"
"PDCD2L",325.660869565217,462.925773195876,4.76056144517525,2.55463818320344e-06,0.012510701842693,-3.90007857310319,"PDCD2L"
"HOXB4",415.953913043478,259.767010309278,4.66713292783823,3.96077536385639e-06,0.0155175257205166,-3.9272599894686,"HOXB4"
"CHST11",2130.49086956522,2289.00824742268,4.55627143310316,6.6016944645314e-06,0.0215534321442843,-3.95892959796722,"CHST11"
"STMN2",728.481739130435,103.428865979381,4.521418046016,7.7354344924491e-06,0.0216470608960836,-3.96875400363397,"STMN2"
"RAB20",3904.30695652174,2077.66597938144,4.44558411292159,1.08820121878178e-05,0.0227950077293419,-3.98990973984666,"RAB20"
"MUC2",4926.88652173913,325.156701030928,4.41321665503005,1.25699361600979e-05,0.0227950077293419,-3.99884707113996,"MUC2"
"C20orf141",18.9465217391304,3.27010309278351,4.41096905858153,1.26960143562665e-05,0.0227950077293419,-3.99946561914012,"C20orf141"
"OR2I1P",890.040869565218,423.117525773196,4.40912603555753,1.28003004248691e-05,0.0227950077293419,-3.99997262690989,"OR2I1P"
"TMEM151B",131.41347826087,16.680412371134,4.36602144125536,1.54866074575103e-05,0.0251463749425831,-4.01177905028583,"TMEM151B"
"SPACA7",12.0834782608696,0.779381443298969,4.34378576697596,1.7075328242441e-05,0.0251463749425831,-4.01783075035013,"SPACA7"
"LCN1",24.0921739130435,5.18969072164948,4.3305392753941,1.80946099581932e-05,0.0251463749425831,-4.02142338646298,"LCN1"
"GSG1L2",37.1882608695652,2.48865979381443,4.29825044694614,2.082841153391e-05,0.0251463749425831,-4.03014121198571,"GSG1L2"
"MAPK4",1000.42260869565,280.985567010309,4.27830408429909,2.2709776387994e-05,0.0251463749425831,-4.03549867276988,"MAPK4"
