"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"POU3F2",1.25113330381998,2.98872483848428,5.31659240023436,1.61201213879901e-06,0.0278571817705857,4.35107419719581,"POU3F2"
"GPC3",1.32836204844572,3.40671858290782,4.77091497832413,1.19815864904028e-05,0.0952786279895886,2.72963643175719,"GPC3"
"OSR1",0.327456741223322,3.21361797688793,4.68112571546678,1.65404712672163e-05,0.0952786279895886,2.46845947955866,"OSR1"
"DMRT3",0.322694956889885,2.95703065425961,4.5863426530641,2.31858582149501e-05,0.0969827131578152,2.19480509673347,"DMRT3"
"RGS16",1.3662706732524,3.7677188105348,4.53243716449914,2.80605037780844e-05,0.0969827131578152,2.04015999657811,"RGS16"
"MRPS31",-0.856742666640891,7.0785258374093,-4.46225722378721,3.59231307356684e-05,0.103464603707181,1.83995200742494,"MRPS31"
"GSDME",-2.9019520076361,6.06497626995431,-4.39572683215767,4.53330235564114e-05,0.111019394784539,1.65137806395271,"GSDME"
"NUFIP1",-0.78274569699196,5.34012900107498,-4.35965639622753,5.13948937142708e-05,0.111019394784539,1.54965495217148,"NUFIP1"
"GJC3",0.817532124226723,3.59708923018006,4.31821036964735,5.93340632892264e-05,0.113927994189014,1.43323193030941,"GJC3"
"TECPR1",0.666248944092175,5.6395298559527,4.14329925740882,0.000108043015181792,0.144137984805045,0.947587233518211,"TECPR1"
"CD3D",0.338103976183108,2.95463275839828,4.11172221607251,0.000120241932830836,0.144137984805045,0.86093827711275,"CD3D"
"MGAT4A",0.877155204415403,3.5867686318194,4.08116941417302,0.000133305576142603,0.144137984805045,0.777411304416083,"MGAT4A"
"COL24A1",0.282002852227031,3.02573936199946,4.07855626729364,0.000134484425456178,0.144137984805045,0.77028171667606,"COL24A1"
"SNED1",0.265318433730279,3.07744891413599,4.07452825086945,0.000136321289196666,0.144137984805045,0.759296332540369,"SNED1"
"CA10",0.749357021748374,3.07685664606289,4.07377652793835,0.000136666762431763,0.144137984805045,0.757246801417307,"CA10"
"SCG3",1.3140154660532,3.11499821392099,4.05343756062235,0.000146341387794677,0.144137984805045,0.701865772095283,"SCG3"
"KCNH8",0.252278618775131,3.04733351975275,4.04940551919781,0.000148336268739517,0.144137984805045,0.690903490702731,"KCNH8"
"SERPINI1",2.00922822649242,5.54592431550658,4.03451375466984,0.000155933912064454,0.144137984805045,0.650463739424876,"SERPINI1"
"CASKIN1",0.609586242692544,3.78405886495566,4.01767207764139,0.00016497868402387,0.144137984805045,0.604820164751772,"CASKIN1"
"SUPT20H",-0.74660054048098,6.37186865197528,-4.01435868473647,0.000166816717556907,0.144137984805045,0.595851831344548,"SUPT20H"
"TRIM77",0.229465458320443,2.85394538457404,3.97089131736436,0.000192834264658513,0.148692710991462,0.478552365792784,"TRIM77"
"ZG16B",2.19511138373801,4.00666173421123,3.93463193084421,0.000217487234552816,0.148692710991462,0.381213411613266,"ZG16B"
"FAM177B",0.92362384812867,3.1908751811341,3.93027539810705,0.000220645762776091,0.148692710991462,0.36954983576248,"FAM177B"
"CNNM1",0.278205295468605,3.27770568180597,3.91853016001116,0.000229382547238985,0.148692710991462,0.338138845342591,"CNNM1"
"RAPGEF4",0.29066353019641,3.13319074630476,3.90876309203706,0.00023690031660204,0.148692710991462,0.312056216000859,"RAPGEF4"
"FAM81B",0.321228879214352,3.06772896560064,3.9065024927666,0.000238673773460055,0.148692710991462,0.306024300514758,"FAM81B"
"ARFGEF3",0.829408418883389,3.35369539424886,3.90303316963857,0.000241420330679333,0.148692710991462,0.296770789847244,"ARFGEF3"
"PHYHIPL",0.619499556874417,3.27784892394518,3.89103118577563,0.000251158217224116,0.148692710991462,0.264792557590698,"PHYHIPL"
